Symbol,Name,Sector,Industry
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AXON,Axon Enterprise,Industrials,Aerospace & Defense
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAC,Bank of America,Financials,Diversified Banks
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores
BAX,Baxter International,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
WRB,Berkley,Financials,Property & Casualty Insurance
BRKB,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
BIIB,Biogen,Health Care,Biotechnology
BLK,BlackRock,Financials,Asset Management & Custody Banks
BK,BNY Mellon,Financials,Asset Management & Custody Banks
BA,Boeing,Industrials,Aerospace & Defense
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
BXP,Boston Properties,Real Estate,Office REITs
BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
AVGO,Broadcom Inc.,Information Technology,Semiconductors
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRO,Brown & Brown,Financials,Insurance Brokers
BFB,Brown–Forman,Consumer Staples,Distillers & Vintners
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
CDNS,Cadence Design Systems,Information Technology,Application Software
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,Real Estate,Residential REITs
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats
COF,Capital One,Financials,Consumer Finance
CAH,Cardinal Health,Health Care,Health Care Distributors
KMX,CarMax,Consumer Discretionary,Automotive Retail
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,Carrier Global,Industrials,Building Products
CTLT,Catalent,Health Care,Pharmaceuticals
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate,Real Estate Services
CDW,CDW,Information Technology,Technology Distributors
CE,Celanese,Materials,Specialty Chemicals
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,Multi-Utilities
CDAY,Ceridian,Information Technology,Application Software
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
CHTR,Charter Communications,Communication Services,Cable & Satellite
CVX,Chevron Corporation,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,Chubb Limited,Financials,Property & Casualty Insurance
CHD,Church & Dwight,Consumer Staples,Household Products
CI,Cigna,Health Care,Managed Health Care
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,Cintas,Industrials,Diversified Support Services
CSCO,Cisco,Information Technology,Communications Equipment
C,Citigroup,Financials,Diversified Banks
CFG,Citizens Financial Group,Financials,Regional Banks
CLX,Clorox,Consumer Staples,Household Products
CME,CME Group,Financials,Financial Exchanges & Data
CMS,CMS Energy,Utilities,Multi-Utilities
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,Cognizant,Information Technology,IT Consulting & Other Services
CL,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,Comcast,Communication Services,Cable & Satellite
CMA,Comerica,Financials,Diversified Banks
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison,Utilities,Electric Utilities
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
CEG,Constellation Energy,Utilities,Multi-Utilities
COO,CooperCompanies,Health Care,Health Care Supplies
CPRT,Copart,Industrials,Diversified Support Services
GLW,Corning Inc.,Information Technology,Electronic Components
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group,Industrials,Research & Consulting Services
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CTRA,Coterra,Energy,Oil & Gas Exploration & Production
CCI,Crown Castle,Real Estate,Telecom Tower REITs
CSX,CSX,Industrials,Rail Transportation
CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components
CVS,CVS Health,Health Care,Health Care Services
DHI,D.R. Horton,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation,Health Care,Health Care Equipment
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DVA,DaVita Inc.,Health Care,Health Care Facilities
DE,John Deere,Industrials,Agricultural & Farm Machinery
DAL,Delta Air Lines,Industrials,Passenger Airlines
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DXCM,Dexcom,Health Care,Health Care Equipment
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty,Real Estate,Data Center REITs
DFS,Discover Financial,Financials,Consumer Finance
DISH,Dish Network,Communication Services,Cable & Satellite
DIS,Disney,Communication Services,Movies & Entertainment
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
D,Dominion Energy,Utilities,Electric Utilities
DPZ,Domino's,Consumer Discretionary,Restaurants
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
DOW,Dow Inc.,Materials,Commodity Chemicals
DTE,DTE Energy,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
DD,DuPont,Materials,Specialty Chemicals
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
EMN,Eastman Chemical Company,Materials,Diversified Chemicals
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Ecolab,Materials,Specialty Chemicals
EIX,Edison International,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
ELV,Elevance Health,Health Care,Managed Health Care
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals
EMR,Emerson Electric,Industrials,Electrical Components & Equipment
ENPH,Enphase,Information Technology,Electronic Components
ETR,Entergy,Utilities,Electric Utilities
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
EQT,EQT,Energy,Oil & Gas Exploration & Production
EFX,Equifax,Industrials,Research & Consulting Services
EQIX,Equinix,Real Estate,Data Center REITs
EQR,Equity Residential,Real Estate,Residential REITs
ESS,Essex Property Trust,Real Estate,Residential REITs
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
RE,Everest Re,Financials,Reinsurance
EVRG,Evergy,Utilities,Electric Utilities
ES,Eversource,Utilities,Multi-Utilities
EXC,Exelon,Utilities,Multi-Utilities
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,Expeditors International,Industrials,Air Freight & Logistics
EXR,Extra Space Storage,Real Estate,Self-Storage REITs
XOM,ExxonMobil,Energy,Integrated Oil & Gas
FFIV,"F5, Inc.",Information Technology,Communications Equipment
FDS,FactSet,Financials,Financial Exchanges & Data
FICO,Fair Isaac,Information Technology,Application Software
FAST,Fastenal,Industrials,Building Products
FRT,Federal Realty,Real Estate,Retail REITs
FDX,FedEx,Industrials,Air Freight & Logistics
FITB,Fifth Third Bank,Financials,Regional Banks
FSLR,First Solar,Information Technology,Semiconductors
FE,FirstEnergy,Utilities,Electric Utilities
FIS,FIS,Financials,Transaction & Payment Processing Services
FI,Fiserv,Financials,Transaction & Payment Processing Services
FLT,Fleetcor,Financials,Transaction & Payment Processing Services
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FTNT,Fortinet,Information Technology,Systems Software
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,Materials,Copper
GRMN,Garmin,Consumer Discretionary,Consumer Electronics
IT,Gartner,Information Technology,IT Consulting & Other Services
GEHC,GE HealthCare,Health Care,Health Care Technology
GEN,Gen Digital,Information Technology,Application Software
GNRC,Generac,Industrials,Electrical Components & Equipment
GD,General Dynamics,Industrials,Aerospace & Defense
GE,General Electric,Industrials,Industrial Conglomerates
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores
GILD,Gilead Sciences,Health Care,Biotechnology
GL,Globe Life,Financials,Life & Health Insurance
GPN,Global Payments,Financials,Transaction & Payment Processing Services
GS,Goldman Sachs,Financials,Investment Banking & Brokerage
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HIG,Hartford (The),Financials,Property & Casualty Insurance
HAS,Hasbro,Consumer Discretionary,Leisure Products
HCA,HCA Healthcare,Health Care,Health Care Facilities
PEAK,Healthpeak,Real Estate,Health Care REITs
HSIC,Henry Schein,Health Care,Health Care Distributors
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats
HES,Hess Corporation,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,Hologic,Health Care,Health Care Equipment
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail
HON,Honeywell,Industrials,Industrial Conglomerates
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HWM,Howmet Aerospace,Industrials,Aerospace & Defense
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HUM,Humana,Health Care,Managed Health Care
HBAN,Huntington Bancshares,Financials,Regional Banks
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IBM,IBM,Information Technology,IT Consulting & Other Services
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IDXX,Idexx Laboratories,Health Care,Health Care Equipment
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
ILMN,Illumina,Health Care,Life Sciences Tools & Services
INCY,Incyte,Health Care,Biotechnology
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
PODD,Insulet,Health Care,Health Care Equipment
INTC,Intel,Information Technology,Semiconductors
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IPG,Interpublic Group of Companies (The),Communication Services,Advertising
INTU,Intuit,Information Technology,Application Software
ISRG,Intuitive Surgical,Health Care,Health Care Equipment
IVZ,Invesco,Financials,Asset Management & Custody Banks
INVH,Invitation Homes,Real Estate,Residential REITs
IQV,IQVIA,Health Care,Life Sciences Tools & Services
IRM,Iron Mountain,Real Estate,Other Specialized REITs
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
J,Jacobs Solutions,Industrials,Construction & Engineering
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JCI,Johnson Controls,Industrials,Building Products
JPM,JPMorgan Chase,Financials,Diversified Banks
JNPR,Juniper Networks,Information Technology,Communications Equipment
K,Kellogg's,Consumer Staples,Packaged Foods & Meats
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,KeyCorp,Financials,Regional Banks
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments
KMB,Kimberly-Clark,Consumer Staples,Household Products
KIM,Kimco Realty,Real Estate,Retail REITs
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KR,Kroger,Consumer Staples,Food Retail
LHX,L3Harris,Industrials,Aerospace & Defense
LH,LabCorp,Health Care,Health Care Services
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LDOS,Leidos,Industrials,Diversified Support Services
LEN,Lennar,Consumer Discretionary,Homebuilding
LNC,Lincoln Financial,Financials,Multi-line Insurance
LIN,Linde plc,Materials,Industrial Gases
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LMT,Lockheed Martin,Industrials,Aerospace & Defense
L,Loews Corporation,Financials,Multi-line Insurance
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LYB,LyondellBasell,Materials,Specialty Chemicals
MTB,M&T Bank,Financials,Regional Banks
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess,Financials,Financial Exchanges & Data
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,Marsh McLennan,Financials,Insurance Brokers
MLM,Martin Marietta Materials,Materials,Construction Materials
MAS,Masco,Industrials,Building Products
MA,Mastercard,Financials,Transaction & Payment Processing Services
MTCH,Match Group,Communication Services,Interactive Media & Services
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's,Consumer Discretionary,Restaurants
MCK,McKesson,Health Care,Health Care Distributors
MDT,Medtronic,Health Care,Health Care Equipment
MRK,Merck & Co.,Health Care,Pharmaceuticals
META,Meta Platforms,Communication Services,Interactive Media & Services
MET,MetLife,Financials,Life & Health Insurance
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,Micron Technology,Information Technology,Semiconductors
MSFT,Microsoft,Information Technology,Systems Software
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs
MRNA,Moderna,Health Care,Biotechnology
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
MOH,Molina Healthcare,Health Care,Managed Health Care
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions,Information Technology,Communications Equipment
MSCI,MSCI,Financials,Financial Exchanges & Data
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,Netflix,Communication Services,Movies & Entertainment
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NEM,Newmont,Materials,Gold
NWSA,News Corp (Class A),Communication Services,Publishing
NWS,News Corp (Class B),Communication Services,Publishing
NEE,NextEra Energy,Utilities,Multi-Utilities
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,NiSource,Utilities,Multi-Utilities
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NSC,Norfolk Southern Railway,Industrials,Rail Transportation
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor,Materials,Steel
NVDA,Nvidia,Information Technology,Semiconductors
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
NXPI,NXP Semiconductors,Information Technology,Semiconductors
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
ODFL,Old Dominion,Industrials,Cargo Ground Transportation
OMC,Omnicom Group,Communication Services,Advertising
ON,ON Semiconductor,Information Technology,Semiconductors
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation
ORCL,Oracle Corporation,Information Technology,Application Software
OGN,Organon & Co.,Health Care,Pharmaceuticals
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PARA,Paramount Global,Communication Services,Movies & Entertainment
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PAYX,Paychex,Industrials,Human Resource & Employment Services
PAYC,Paycom,Information Technology,Application Software
PYPL,PayPal,Financials,Transaction & Payment Processing Services
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,Pfizer,Health Care,Pharmaceuticals
PCG,PG&E Corporation,Utilities,Multi-Utilities
PM,Philip Morris International,Consumer Staples,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West,Utilities,Multi-Utilities
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PNC,PNC Financial Services,Financials,Regional Banks
POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL Corporation,Utilities,Electric Utilities
PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,Procter & Gamble,Consumer Staples,Personal Care Products
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PLD,Prologis,Real Estate,Industrial REITs
PRU,Prudential Financial,Financials,Life & Health Insurance
PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PTC,PTC,Information Technology,Application Software
PSA,Public Storage,Real Estate,Self-Storage REITs
PHM,PulteGroup,Consumer Discretionary,Homebuilding
QRVO,Qorvo,Information Technology,Semiconductors
PWR,Quanta Services,Industrials,Construction & Engineering
QCOM,Qualcomm,Information Technology,Semiconductors
DGX,Quest Diagnostics,Health Care,Health Care Services
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RJF,Raymond James,Financials,Investment Banking & Brokerage
RTX,Raytheon Technologies,Industrials,Aerospace & Defense
O,Realty Income,Real Estate,Retail REITs
REG,Regency Centers,Real Estate,Retail REITs
REGN,Regeneron,Health Care,Biotechnology
RF,Regions Financial Corporation,Financials,Regional Banks
RSG,Republic Services,Industrials,Environmental & Facilities Services
RMD,ResMed,Health Care,Health Care Equipment
RVTY,Revvity,Health Care,Health Care Equipment
RHI,Robert Half,Industrials,Human Resource & Employment Services
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SPGI,S&P Global,Financials,Financial Exchanges & Data
CRM,Salesforce,Information Technology,Application Software
SBAC,SBA Communications,Real Estate,Telecom Tower REITs
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials
SRE,Sempra Energy,Utilities,Multi-Utilities
NOW,ServiceNow,Information Technology,Systems Software
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SPG,Simon Property Group,Real Estate,Retail REITs
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment
SO,Southern Company,Utilities,Electric Utilities
LUV,Southwest Airlines,Industrials,Passenger Airlines
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
SBUX,Starbucks,Consumer Discretionary,Restaurants
STT,State Street Corporation,Financials,Asset Management & Custody Banks
STLD,Steel Dynamics,Materials,Steel
STE,Steris,Health Care,Health Care Equipment
SYK,Stryker Corporation,Health Care,Health Care Equipment
SYF,Synchrony Financial,Financials,Consumer Finance
SNPS,Synopsys,Information Technology,Application Software
SYY,Sysco,Consumer Staples,Food Distributors
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TFX,Teleflex,Health Care,Health Care Equipment
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores
TT,Trane Technologies,Industrials,Building Products
TDG,TransDigm Group,Industrials,Aerospace & Defense
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TFC,Truist,Financials,Regional Banks
TYL,Tyler Technologies,Information Technology,Application Software
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
USB,U.S. Bank,Financials,Diversified Banks
UDR,"UDR, Inc.",Real Estate,Residential REITs
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
UNP,Union Pacific Corporation,Industrials,Rail Transportation
UAL,United Airlines Holdings,Industrials,Passenger Airlines
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals,Industrials,Trading Companies & Distributors
UNH,UnitedHealth Group,Health Care,Managed Health Care
UHS,Universal Health Services,Health Care,Health Care Facilities
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VTR,Ventas,Real Estate,Health Care REITs
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRSK,Verisk,Industrials,Research & Consulting Services
VZ,Verizon,Communication Services,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VTRS,Viatris,Health Care,Pharmaceuticals
VICI,Vici Properties,Real Estate,Hotel & Resort REITs
V,Visa Inc.,Financials,Transaction & Payment Processing Services
VMC,Vulcan Materials Company,Materials,Construction Materials
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WM,Waste Management,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,Health Care,Health Care Distributors
WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,Wells Fargo,Financials,Diversified Banks
WELL,Welltower,Real Estate,Health Care REITs
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials
WY,Weyerhaeuser,Real Estate,Timber REITs
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
WTW,Willis Towers Watson,Financials,Insurance Brokers
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,Utilities,Multi-Utilities
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
